ID;Titre;Prix;Nb. D'etudiant(e)s;Nb. d'evaluations;Evaluation;Niveaux d'experience2;Duree;Date et l'heure de publication 
597716;Trade Pullback Candlestick Strategy - Make Consistent Pips;200;521;67;6.8;Tous;90;2016-02-24 12:30
177214;An Introduction to Management of Portfolios (MoP);20;117;15;6.9;Tous;1470;2014-03-06 04:12
808506;Candlestick Analysis For Professional Traders;95;913;117;6.7;Tous;720;2016-05-18 12:04
188418;Tape Reading: Learn how to read the tape for day trading;195;1013;128;7.7;Tous;60;2014-03-27 03:14
360916;Hot Trading Investing Strategy: ETF and Futures;50;80;10;6.5;Junior;120;2014-12-08 02:07
528104;Stock Trading Strategies: Profitable Trading in 7 Days.;50;80;10;7.2;Junior;240;2015-06-15 20:09
322118;IFRS Financial Reporting;55;72;9;6.8;Tous;1350;2014-10-24 12:55
304422;Flow Management and Forecasting;20;16;2;6.4;Junior;90;2014-09-22 00:57
244000;Forex Trading: The High ROI Forex Trading End of Day Course;125;8;1;6.5;Tous;390;2014-06-16 07:02
621014;System of Asset Management for Professionals (SAMP);50;8;1;8.2;Tous;60;2015-09-25 17:59
1178150;Double Your Salary With Free, Local, Job Training Courses;20;8;1;6.3;Intermediaire;270;2017-04-17 12:33
742106;Credit Risk Analysis;20;194;24;8.2;Tous;210;2016-01-28 17:09
737832;Bitcoin Peer Investing: How To Generate Double Digit Returns;25;366;45;8.1;Tous;300;2016-01-24 18:09
551968;The Blueprint for Successful Stock Trading;120;2697;331;7;Tous;180;2015-08-13 14:58
772480;Learn to Trade Forex Big U-Turn Trade;50;106;13;6;Tous;180;2016-02-24 13:44
498360;Trading For Busy People;50;99;12;6.9;Junior;60;2015-07-06 18:22
691180;An Abundance Mindset: How to Craft Yours;50;33;4;7.4;Tous;300;2016-01-22 16:45
1029062;Forex Trading System: Correlation EUR/GBP vs GBP/USD;50;33;4;8.4;Tous;960;2016-12-14 10:49
321410;Beginner to Pro in Excel: Financial Modeling and Valuation;195;22257;2697;7.2;Tous;630;2014-11-25 18:00
885443;Investment Portfolio Analysis with R;50;314;38;5.6;Tous;90;2016-06-27 16:39
541824;FX Commodity Chart Trading Patterns for Success;50;83;10;6.6;Tous;240;2015-07-19 15:23
714188;Fixed Income Valuation and Analysis, CFA L2;20;50;6;5.7;Tous;32;2016-01-04 16:01
834836;How to Consistently Win Trading Stocks in 30 Days or Less;145;1433;169;8.5;Junior;60;2016-05-09 01:44
235112;Forex - Catch the Big Market Moves in Forex;20;212;25;7.8;Junior;390;2014-06-02 02:52
1102462;FOREX Trading with Price Action;195;484;57;5.9;Tous;3600;2017-03-14 14:30
166842;6. Annuities Due and Deferred;20;170;20;6.4;Tous;31;2014-02-24 08:53
517466;Day Trading: High ROI Day Trading ;150;17;2;6.4;Tous;480;2015-07-29 15:08
968056;What You Should Know to Become a Trader;125;17;2;7.2;Tous;210;2016-09-29 01:13
1170626;Start Trading Stocks Using Technical Analysis! Part 2;95;94;11;4.4;Tous;90;2017-05-22 20:20
739964;Investing And Trading For Beginners: Mastering Price Charts;65;1540;178;7.6;Tous;420;2016-02-21 13:23
240256;Forex Breakout Profits: The Definitive Guide;25;521;60;6.6;Junior;120;2014-11-30 14:52
598722;Build, Grow, and Protect Your Assets: A Step-by-Step Guide;195;226;26;7.7;Tous;510;2015-09-22 23:00
42640;Technical Analysis - A practical approach for trade entry;60;454;52;7.3;Intermediaire;360;2013-02-23 23:47
379196;Binary Options Beginners Guide : Nadex;40;454;52;7.7;Tous;1110;2015-01-09 14:32
1247394;Cryptocurrency Trading: Complete Guide To Trading Altcoins;95;367;42;6.8;Junior;60;2017-06-21 19:18
637452;Complete Guide to Business Loans;30;35;4;6.2;Intermediaire;150;2015-12-04 00:11
297742;Build a DCF Valuation Model;50;2053;234;7.1;Tous;90;2014-10-01 14:49
355622;Trade Forex 13 Patterns - Golden Ratios Secret Revealed;200;554;63;6.2;Tous;450;2015-01-10 08:49
597164;Learn to Trade for Profit: Finding Winning Stocks - Chinese;95;264;30;6.4;Tous;120;2015-10-08 13:04
460652;Financial and Business Simulation with Microsoft Excel;20;44;5;7.8;Tous;1050;2015-03-29 18:10
743568;Financial Analysis, from Scratch to Professional!;65;256;29;8.9;Tous;840;2016-03-06 18:27
990440;My Forex Strategy that win consistently over and over;200;204;23;5.7;Intermediaire;630;2016-10-29 10:51
829206;Financial Accounting Plus Excel and SAP Crash Course.;20;18;2;6.2;Tous;840;2016-05-23 13:03
1263966;Advanced Technical Analysis PART1!;100;9;1;6.3;Junior;36;2017-06-27 18:00
382204;Learn How To Successfully Trade Stocks: In 5 Simple Steps;95;2493;276;6.8;Junior;270;2015-01-31 14:02
1189592;Learn How To Successfully Trade Forex: In 5 Simple Steps;95;64;7;6.6;Junior;150;2017-05-03 18:09
812798;Value Investing and Stock Market Fundamentals;195;74;8;5.6;Junior;60;2016-04-07 14:10
931588;Learn to trade Chart Patterns;20;75;8;7.4;Tous;120;2016-08-17 13:04
476880;Financial Model Fundamentals-Learn the Essential Skills;75;47;5;6.8;Tous;150;2015-06-01 16:58
43441;"Master 'Technical Analysis and Chart reading skills Bundle""";120;3348;352;7.8;Tous;510;2013-02-25 16:38
98706;Stock Market for Beginners. Learn to trade;35;143;15;5.7;Tous;150;2013-10-03 13:44
768028;An Integrated Approach to the Fundamentals of Accounting;200;134;14;6.4;Junior;150;2016-03-15 13:23
855172;Hedge and Mutual Fund Careers: The Complete Guide;200;3255;340;6.3;Junior;120;2016-06-20 16:17
578534;The Intelligent Investor;30;384;40;5.6;Tous;1200;2015-08-26 20:02
42643;Master Iron Condors - Double the credit for half the risk;60;1338;139;7.1;Tous;210;2013-03-02 08:27
324656;Forex Trading;95;136;14;6.6;Tous;720;2014-11-18 05:52
832410;Stock Technical Analysis with Excel;50;156;16;7.8;Tous;180;2016-04-28 14:22
469526;Trading Biotech Stocks - Understanding the Healthcare Sector;55;166;17;7.6;Junior;90;2015-04-24 17:22
322332;Learn To Invest In 7 Steps;50;137;14;6.9;Tous;35;2015-03-29 17:12
920604;Intro to Financial Modeling;105;1077;110;6.4;Junior;60;2016-08-19 16:12
364810;Double your Forex Account using the MAGIC MA trading robot;65;1160;117;7.8;Tous;180;2014-12-10 16:45
764010;Learn to Trade Forex Naked Price Action Wammie Trade;40;159;16;7.5;Intermediaire;780;2016-02-17 14:07
581662;Stock Trading with this Strategy;50;30;3;5.8;Intermediaire;60;2015-08-13 17:52
146454;2. Principles of Simple Interest - advanced problems;20;10;1;6.4;Tous;32;2014-01-20 16:56
877106;Forex trading tactics, that work!;20;10;1;7.7;Intermediaire;180;2016-06-16 16:23
1013190;Analysis and Evaluation of Economic Feasibility of Projects;100;10;1;6.6;Junior;37;2016-12-19 09:47
571394;QuickBooks Online: Complete Guide & Certification tips;50;2187;218;6.7;Tous;270;2015-08-03 13:46
502772;The Complete Value Investing Course: A Proven Approach;200;2146;212;7;Junior;90;2015-06-16 18:43
729128;Professional Bookkeeping and Accounting 3: Double Entry ;35;81;8;5.8;Tous;330;2016-01-21 13:30
355798;Learn Accounting by Specific Examples - Part 1;50;306;30;6.4;Tous;90;2014-11-28 00:56
888716;Introduction to Finance, Accounting, Modeling and Valuation;200;11441;1118;7.5;Tous;180;2016-06-28 02:12
676764;Create Your Own Automated Stock Trading Robot In EXCEL!;150;461;45;6.2;Tous;870;2015-12-09 13:35
43319;Options Trading Basics (3-Course Bundle);180;10100;985;6.4;Junior;120;2013-02-25 06:36
1078520;Internal Controls - Design, Implementation and Monitoring;195;62;6;7.8;Intermediaire;270;2017-03-20 14:42
52118;Multiply your returns using Value Investing;0;1450;140;6;Junior;210;2017-06-30 16:07
774570;Professional Bookkeeping & Accounting 4:Trial Balance & More;35;83;8;6.6;Junior;60;2016-03-12 00:06
1039442;How To Trade RSI Pullback Strategy: Entry To Exit (Forex);150;104;10;7.3;Junior;60;2017-02-17 00:52
648826;The Complete Financial Analyst Course 2017;195;24481;2347;8.6;Junior;60;2016-01-20 20:38
49886;Business Analysis:  Working with Use Cases;90;2338;224;7.8;Tous;300;2013-04-17 15:33
1149564;The Forex Pivot Points Trading Strategy;20;21;2;7;Junior;90;2017-03-22 18:57
178602;Capital Market Road Map;50;495;47;7.3;Tous;390;2014-03-11 12:15
1110470;The Passive Investing Blueprint - Build Wealth Passively;200;338;32;8.1;Tous;810;2017-03-08 17:37
965832;The Complete Investment Banking Course 2017;195;8575;809;7.7;Tous;480;2016-10-10 12:16
66383;A Beginners Guide to Technical Analysis of Stock Charts;40;829;78;6.4;Tous;750;2013-09-15 11:06
994754;The Power Modeling Bootcamp: Advanced Excel in 10 Days;150;1680;158;6.8;Tous;120;2016-11-25 23:09
429952;The Complete Financial Model Builder Course-Build 7 Models;75;214;20;6.9;Tous;120;2015-03-19 15:00
42642;The Basics Of Volume Analysis;60;611;57;5.8;Tous;60;2013-02-24 08:23
180362;The Securities Trade Lifecycle;50;1182;110;6.8;Tous;210;2014-03-12 09:40
323828;An Introduction: MT4 Email, Sound, Notification Forex Alerts;20;323;30;6.6;Intermediaire;420;2014-11-01 00:10
948974;THE Forex Robot: Incredible ROI (Robot Included);200;1843;171;7.6;Tous;330;2016-10-04 11:20
1070886;Python Algo Trading: FX Trading with Oanda;200;453;42;7.4;Tous;90;2017-03-13 20:39
822808;Tax Strategies of the Wealthy;195;207;19;7.5;Junior;38;2016-04-29 19:25
308694;Forex Strategies: Kelly Criterion, Larry Williams and more!;185;5528;506;6.5;Junior;150;2015-02-19 06:31
408440;How to Win 97% of Your Options Trades;125;5050;461;8;Tous;750;2015-02-09 23:21
65110;Professional Risk Manager (PRM) Certification: Level 3;50;55;5;5.1;Tous;210;2013-07-23 16:26
994666;Intro to Impact Investing;200;44;4;6.8;Tous;3060;2016-11-08 12:02
505144;Eu Funding: Module 2 - Introduction to Horizon 2020;20;11;1;6.4;Junior;120;2015-05-19 20:00
619792;Start Now: A Rescue Plan for Retirement Late Savers;150;11;1;7.3;Tous;240;2016-11-18 22:30
480752;Investing In Stocks With 10 Simple Rules;95;871;79;4.7;Junior;60;2015-06-16 17:35
42491;CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ;60;607;55;5.5;Tous;60;2013-03-05 06:31
792216;Stock Technical Analysis with R;50;354;32;7;Junior;300;2016-03-18 16:46
476622;Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified;40;500;45;6.7;Junior;90;2015-04-26 15:26
902150;Learn Global Macro Trading & Investing for Retail Investor;75;178;16;6.4;Junior;120;2016-07-15 14:23
258232;Algorithmic Trading In Forex: Create Your First Forex Robot!;185;7941;713;8;Tous;720;2014-08-11 04:01
383414;Beginner to Pro in PowerPoint: Complete PowerPoint Training;150;5786;518;7.8;Tous;570;2015-01-31 10:34
576636;Build your own Naked Trading Forex Robot;40;315;28;6.7;Junior;60;2015-08-11 17:24
332690;Introduction to Trade Theory (Technical Analysis) For Stocks;20;45;4;5.8;Tous;120;2014-11-23 23:14
575476;Forex trading made simple;100;45;4;4.9;Tous;330;2015-09-25 15:08
179446;Commercial Credit Analysis;50;545;48;7.2;Tous;240;2014-03-12 08:26
45139;"Get to know the VIX Index (aka 'The Fear Index)""";60;727;64;7.9;Tous;90;2013-03-08 06:42
44836;Option Spreads and Credit Spreads Bundle;180;2212;194;6.4;Tous;120;2013-03-05 13:27
380542;Day Trading in Stocks: Strategies for Beginner Investors;50;217;19;6;Tous;270;2015-01-08 12:52
1220862;"The True ' Secret Sauce  For Stock Market Success""";200;23;2;8.4;Junior;90;2017-06-11 12:01
20185;The Complete Forex Trader;25;1634;142;6.8;Tous;270;2012-10-01 05:46
64739;Professional Risk Manager (PRM) Certification: Level 1;50;116;10;6.2;Tous;810;2013-07-23 16:18
501384;Essentials Of Swing Trading Stocks;20;105;9;6.8;Tous;930;2015-06-03 14:00
815482;Stock Technical Analysis with Python;50;409;35;6.7;Tous;390;2016-04-11 20:40
485889;Cost Accounting - A Comprehensive Study;180;503;43;7.7;Junior;450;2015-04-26 19:46
637176;Build Financial Models & Value Companies The Easy Way;20;1609;137;6.5;Tous;150;2015-10-12 20:45
283780;Build a DCF Model from Scratch;0;4653;395;6.7;Tous;930;2014-09-14 17:13
985922;Excel Crash Course: Master Excel for Financial Analysis;105;8121;689;8.2;Junior;90;2016-10-17 20:51
298522;Navigate the 10-K and Other Financial Reports;40;653;55;5.9;Junior;900;2014-11-08 13:50
42634;Advanced Options Concepts - Probability, Greeks, Simulation;60;968;81;6.3;Junior;90;2013-02-27 08:05
56926;School of Raising Capital: Agile Financial Modeling;20;12;1;4.7;Tous;37;2013-06-28 12:41
113712;International Trade and New Geographic Economy;20;12;1;5.2;Tous;33;2013-12-05 15:10
429308;Read financial statements like a pro;50;12;1;5.8;Tous;360;2015-03-02 18:49
597424;Sell like a Pro: Insider Secrets of Successful Selling!;115;12;1;7.5;Junior;120;2016-11-01 11:47
613944;How to trade options;45;12;1;7.9;Intermediaire;32;2015-09-20 17:45
138560;Credit Repair from a Financial Institution;20;157;13;8;Junior;180;2014-01-14 18:22
358062;Financial Modeling: Build a Complete DCF Valuation Model;95;2240;185;7.4;Junior;42;2014-12-03 16:41
260470;Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!;200;10603;872;6.7;Junior;60;2014-10-12 17:19
44319;Master Calendar Spreads with this live trade on Gold (GLD);60;540;44;6.1;Junior;44;2013-03-02 09:03
65802;Financial Risk Manager (FRM) Certification: Level II;50;86;7;7.2;Junior;180;2013-07-23 23:18
370440;Bitcoin For Beginners;50;37;3;8;Intermediaire;240;2014-12-29 13:54
754028;Financial Accounting - A Brief Introduction;0;17847;1440;6.5;Tous;60;2016-02-24 09:53
1167536;Learn to Trade Forex - from Beginner to Professional;195;89;7;8.1;Junior;240;2017-04-06 12:59
834558;What Finance Job is for You? Explanation of 14 Finance Roles;200;2951;232;6.9;Tous;120;2016-05-04 01:22
32908;Finance and Accounting for Startups;50;1175;92;7.1;Junior;330;2013-01-14 21:01
696616;Stock Market for Beginners - Complete Starter Toolkit;120;577;45;6.6;Tous;150;2016-03-31 14:22
386922;Seeing the Big Picture: Understanding Financial Statements;50;885;69;4.2;Junior;90;2015-01-07 16:40
439362;Professional Options Trading, Simplified;200;631;49;6.6;Junior;180;2015-04-17 17:59
48841;Accounting in 60 Minutes - A Brief Introduction;0;56659;4397;6;Tous;180;2013-04-07 17:39
629060;Trading Trends in ANY Market;30;632;49;6.1;Tous;34;2015-10-04 14:43
730414;Intro to Investment Banking, M&A, IPO, Modeling + Free Book;60;1922;149;6.4;Intermediaire;90;2016-01-20 20:25
180372;Mortgage Backed Securities;50;376;29;7;Tous;210;2014-03-13 08:47
331968;Trading: From Wall Street to Your Street;50;312;24;7.2;Junior;180;2014-12-18 16:53
168358;Basel II;50;78;6;7.2;Tous;390;2014-03-06 02:16
302450;10 Numbers Every Business Owner Should Know;20;13;1;8;Tous;360;2015-03-08 15:11
1048496;SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports;50;13;1;7.8;Junior;120;2016-12-26 12:39
746432;Start Trading Stocks Using Technical Analysis!;25;3190;244;8;Tous;180;2016-02-03 12:10
996612;High Probability Trading Across Any Market: Stocks & Forex;95;353;27;7;Tous;780;2016-12-01 12:36
205810;Beginners Binary Options Course;0;10540;799;5.6;Tous;480;2014-04-27 02:58
42040;Buying Call and Put Options - Options beginner strategies;60;266;20;8;Junior;120;2013-02-18 05:54
679238;Day Trading - Learn to Day Trade / Swing Trade In One Hour.;95;335;25;6.1;Tous;750;2015-11-27 12:38
709500;Forex Trading -  Learn to Trade Forex Like the Banks;20;3223;240;7.4;Intermediaire;510;2016-03-30 11:29
1224262;Introduction to Futures Trading and Live Trade Demonstration;60;54;4;5.9;Tous;150;2017-05-24 10:16
304420;Breakeven Analysis and Pricing;20;27;2;8.1;Junior;270;2014-09-22 00:32
178776;Fixed Income Securities;50;739;54;6.5;Tous;180;2014-03-11 12:29
1035472;Python for Finance: Investment Fundamentals & Data Analytics;195;3811;278;6.2;Junior;60;2017-03-30 18:17
41145;Learn Call Options and Put Options - Introduction to Options;60;1017;74;6.7;Tous;210;2013-02-15 15:43
881378;Forex Trading -  Learn to Trade From Scratch!;20;1423;103;6.1;Junior;90;2016-06-19 10:56
436488;Futures/Commodity Trading;50;472;34;4.9;Tous;90;2015-03-05 17:58
45136;Weekly Options and study of Options expiration dynamics;60;779;56;5.9;Tous;270;2013-03-08 07:22
371828;Manual Bookkeeping;20;28;2;7.6;Junior;570;2015-07-24 16:42
552504;Introduction to Options - Strategies For Consistent Profits;40;617;44;7.3;Junior;420;2015-08-16 18:14
455452;Accounting, Finance and Banking - A Comprehensive Study;180;507;36;7.6;Tous;240;2015-03-26 14:01
1046724;Quantitative Trading Analysis with R;50;567;40;6.6;Tous;120;2016-12-22 13:24
502240;Value Investing, Taught by Six Superinvestors;200;3804;267;7.7;Tous;330;2015-06-19 17:22
918688;How I Make Consistent Returns Trading Options;200;2310;162;6.7;Junior;150;2016-10-05 13:42
907444;SAP FICO For Beginners - A Guide to SAP Financial Accounts;100;1444;101;7.3;Tous;390;2016-07-25 12:08
353044;Investing 101: The Complete Online Investing Course;200;5334;373;7.9;Tous;300;2014-11-28 12:49
971110;The Truths about (in)secure Retirement;200;86;6;7.3;Junior;34;2016-10-03 14:42
42651;Straddles and Strangles - Volatility moves in any direction;60;775;54;7.4;Intermediaire;600;2013-03-12 08:30
260066;Banking Credit Analysis Process (for Bankers);180;894;62;6.3;Junior;90;2014-07-12 07:00
42197;Options Spreads Bundle-  the heart of Options Trading;120;623;43;7.4;Junior;120;2013-02-19 10:04
24815;Harnessing the Power of Growth Stocks;50;29;2;6;Intermediaire;1170;2012-10-30 21:05
79364;Your Business by the Numbers;25;29;2;7.2;Tous;180;2013-09-26 10:16
919906;Trading Options For Consistent Returns: Options Basics;0;4077;281;6.7;Tous;690;2016-08-18 17:57
739390;Financial Planning & Analysis: Building a Company's Budget;150;1988;137;7.9;Tous;1350;2016-06-15 19:45
1128662;Volatility Trading Analysis with R;50;190;13;7.2;Tous;60;2017-03-06 16:26
410196;DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise;20;44;3;8.2;Junior;570;2015-03-26 14:20
891490;Accounting Superpowers: Learn Accounts, Understand Business!;200;1437;96;5.7;Tous;360;2016-08-08 18:23
411168;Trading Inside Bars - Master 1 Easy Pattern To Be Successful;125;2996;200;7.3;Tous;90;2015-03-08 20:24
688244;How I Make Money Writing About Stocks Online;195;360;24;6.9;Junior;90;2015-12-17 21:55
872204;Excel 4 Accounting & Bookkeeping - Master Date,Time & Text;35;15;1;7.3;Tous;120;2016-06-27 17:19
1253868;Complete Short Financial Ratio Course for Financial Analysis;200;15;1;7.9;Junior;180;2017-06-28 13:44
1018380;Forex Trading Like Banks – Step by Step with Live Examples;195;677;45;6.5;Junior;660;2016-12-18 11:13
1088656;Quantitative Trading Analysis with Python;50;256;17;6.1;Tous;480;2017-01-27 12:11
375594;Financial Management - A Complete Study;190;1941;128;6.5;Senior;180;2014-12-22 11:57
615204;Professional Bookkeeping & Accounting 2 - Bank Daybook;35;91;6;7;Junior;37;2015-11-01 13:29
418732;Hedge Fund Trading System;0;8985;584;6.5;Junior;360;2015-03-05 20:11
1196544;Python Algo Trading: Sentiment Trading with News;200;294;19;6.6;Tous;150;2017-04-28 12:41
115752;Straight From Business School: Create Financial Statements;20;31;2;6.6;Intermediaire;1410;2013-11-27 20:07
130298;Financial Modeling in Excel for Startups;50;1334;86;6;Junior;90;2014-01-04 22:44
445916;Excel Dashboard - Interactive Excel Dashboard and Charts;30;843;54;5.4;Tous;210;2015-03-19 12:57
298558;Advanced Accounting for Investment Banking;50;1260;80;6.9;Tous;360;2014-10-01 14:51
180360;Equity Swaps;50;394;25;6.6;Junior;90;2014-03-13 18:12
248338;Introduction to Day Trading;50;79;5;6.5;Intermediaire;300;2014-09-05 00:38
429662;Trend Following Stocks: A Complete Trading System;95;1202;76;7.1;Tous;450;2015-03-23 13:03
593962;Stock Fundamental Analysis with Excel;50;206;13;6.4;Intermediaire;120;2015-09-15 17:56
429080;Understanding Financial Derivatives;20;16;1;7;Intermediaire;60;2017-03-24 18:25
557436;ACCA MA1 Management Information;50;16;1;6.7;Tous;90;2015-08-24 19:33
1021760;MQL5 - Beginner To Expert;45;16;1;8.3;Tous;1830;2017-04-06 17:39
1275790;Advanced Butterfly Spreads for Options Income Strategies;60;16;1;8.6;Junior;300;2017-07-04 14:08
489146;Practical Finance;20;4497;281;6.4;Intermediaire;120;2015-07-14 14:14
773650;Accounting Basics by Hector Garcia, CPA;0;1924;120;8;Tous;34;2016-02-25 11:53
902888;Investment Portfolio Analysis with Python;50;209;13;6.9;Tous;180;2016-07-13 17:40
494800;Accounting Basics - A Complete Study;180;1132;70;6.9;Tous;240;2015-05-06 19:27
180384;Yield Curve Dynamics;50;397;24;6.3;Tous;90;2014-03-12 10:54
832832;Beginners Guide To Ichimoku Trading;20;265;16;6.4;Tous;37;2016-04-27 16:06
